;Ensino fundamental regular - Anos Finais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Taxa de Aprovação, Prova Brasil, IDEB e Projeções por Escola;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2005, 2007, 2009, 2011 e 2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sigla da UF;Código do Município;Município;Código da Escola;Nome da Escola;Rede;Taxa de Aprovação - 2005;;;;;;;Nota Prova Brasil - 2005;;;Nota Prova Brasil - 2007;;;Nota Prova Brasil - 2009;;;Nota Prova Brasil - 2011;;;Nota Prova Brasil - 2013;;;"IDEB
2005
(N x P)";"IDEB
2007
(N x P)";"IDEB
2009
(N x P)";"IDEB
2011
(N x P)";"IDEB
2013
(N x P)";Projeções;;;;;;;
;;;;;;;;;;;;;;Matemática;Língua Portuguesa;Nota Média Padronizada (N);Matemática;Língua Portuguesa;Nota Média Padronizada (N);Matemática;Língua Portuguesa;Nota Média Padronizada (N);Matemática;Língua Portuguesa;Nota Média Padronizada (N);Matemática;Língua Portuguesa;Nota Média Padronizada (N);;;;;;;;;;;;;
;;;;;;;6º a 9º ano;6º;7º;8º;9º;Indicador de Rendimento (P);;;;;;;;;;;;;;;;;;;;;;2007;2009;2011;2013;2015;2017;2019;2021
2005;CE;2304400;FORTALEZA;23065842;EEFM BARBARA DE ALENCAR;Estadual;48.9;44.6;60.6;32.2;59.1;0.46;;242.31;216.33;4.31;234.50;216.58;4.18;235.24;239.17;4.57;237.18;233.61;4.51;238.55;234.75;4.56;2.0;3.9;3.8;3.1;3.2;2.1;2.5;2.9;3.5;4.0;4.3;4.6;4.8
2005;CE;2304400;FORTALEZA;23065958;ESCOLA MUNICIPAL PROFESSORA BELARMINA CAMPOS;Municipal;55.9;42.9;61.5;62.7;73.2;0.58;;225.10;206.78;3.86;237.11;229.47;4.44;231.90;241.55;4.56;254.66;251.35;5.10;-;-;-;2.2;3.0;3.7;3.2;-;2.3;2.5;2.8;3.3;3.7;4.0;4.2;4.5
2005;CE;2304400;FORTALEZA;23066628;ESCOLA MUNICIPAL CASTELO DE CASTRO;Municipal;39.1;27.0;35.8;49.0;51.0;0.38;;212.80;203.72;3.61;200.66;200.99;3.36;211.41;212.25;3.73;-;-;-;-;-;-;1.4;1.5;1.0;-;-;1.5;1.9;2.4;3.0;3.5;3.8;4.0;4.3
2005;CE;2304400;FORTALEZA;23066660;ESCOLA MUNICIPAL CATULO DA PAIXAO CEARENSE;Municipal;44.4;47.6;53.7;41.4;28.2;0.40;;236.77;231.03;4.46;265.56;253.40;5.32;-;-;-;-;-;-;-;-;-;1.8;3.1;-;-;-;2.0;2.4;2.9;3.6;4.1;4.4;4.7;4.9
2005;CE;2304400;FORTALEZA;23067233;CLAUDIO MARTINS EEFM;Estadual;54.6;45.6;68.9;57.3;48.8;0.54;;238.11;220.63;4.31;235.50;231.99;4.46;233.13;233.44;4.44;241.17;241.58;4.71;245.89;253.66;4.99;2.3;3.1;2.9;3.8;4.1;2.4;2.7;3.1;3.6;4.0;4.3;4.6;4.8
2005;CE;2304400;FORTALEZA;23067268;CLOVIS BEVILAQUA EEFM;Estadual;78.9;94.2;84.6;73.7;68.5;0.79;;216.62;207.92;3.74;238.70;225.69;4.41;231.28;233.59;4.41;234.20;233.61;4.46;248.77;249.48;4.97;3.0;2.9;3.1;2.5;3.5;3.0;3.1;3.4;3.8;4.2;4.4;4.7;5.0
2005;CE;2304400;FORTALEZA;23067330;COLONIA Z-8 EEF;Estadual;82.8;93.3;94.9;92.0;68.7;0.86;;230.02;219.13;4.15;233.26;219.55;4.21;238.75;250.28;4.82;235.03;240.88;4.60;253.53;261.17;5.25;3.6;4.0;4.2;3.9;4.6;3.6;3.7;4.0;4.4;4.8;5.0;5.3;5.6
2005;CE;2304400;FORTALEZA;23067390;ESCOLA MUNICIPAL CONCEICAO MOURAO;Municipal;43.0;43.0;35.4;45.5;54.1;0.43;;217.69;208.28;3.77;214.40;193.71;3.47;ND;ND;-;-;-;-;-;-;-;1.6;2.3;-;-;-;1.8;2.1;2.6;3.2;3.6;3.9;4.2;4.4
2005;CE;2304400;FORTALEZA;23067446;CONSTANCA TAVORA EEFM;Estadual;-;-;-;-;-;-;;-;-;-;236.30;225.68;4.37;246.37;253.28;4.99;249.24;253.43;5.04;250.93;241.80;4.88;-;3.4;3.2;3.3;4.2;-;3.5;3.7;4.0;4.4;4.6;4.9;5.1
2005;CE;2304400;FORTALEZA;23067462;ESCOLA MUNICIPAL PROFESSORA CONSUELO AMORA;Municipal;46.2;33.8;57.2;40.5;58.3;0.45;;209.79;196.12;3.43;210.74;189.46;3.34;-;-;-;-;-;-;-;-;-;1.5;1.2;-;-;-;1.7;2.0;2.4;2.9;3.4;3.6;3.9;4.2
