84;114;23077611;7064;ESCOLA MUNICIPAL IRMÃ SIMAS - EF;RUA JOSÉ SOBREIRA, 608;60833-055;1;3488-3284;0;0;0;1;0;1;1;558221.97;9580972.61
85;60;23071427;7066;ESCOLA MUNICIPAL ISMAEL PORDEUS - EF;AV. DES. FAUSTINO ALBUQUERQUE, 511;60821-440;1;3433-5293;0;0;0;1;1;1;1;555660.64;9581720.54
86;69;23257482;6832;ESCOLA MUNICIPAL JOSÉ CARLOS DE PINHO - EI / EF;RUA LUÍZA MIRANDA COELHO, 595;60811-110;1;3452-1881 / 3452-1889 ;0;1;1;1;0;1;0;556435.37;9582900.6
87;73;23072350;7327;ESCOLA MUNICIPAL JOSÉ DIAS MACÊDO - EF;RUA NUNES VALENTE, 809;60125-070;1;3105-2633;0;0;0;1;1;1;1;555279.37;9587517.58
88;79;23072512;6981;ESCOLA MUNICIPAL JOSÉ RAMOS TORRES DE MELO - EI / EF;AV. DA ABOLIÇÃO, 3984;60165-085;1;3452-7344;0;0;0;1;1;1;1;557298.22;9588174.7
89;21;23256478;7252;ESCOLA MUNICIPAL JOSÉ SOBREIRA DE AMORIM - EI / EF;RUA TENENTE TITO BARROS, 330;60864-300;1;3433-5296;1;1;1;1;0;1;0;554196.14;9580208.37
90;122;23233729;7286;ESCOLA MUNICIPAL LUIS ÂNGELO PEREIRA - EI / EF;RUA OSMUNDO CAVALCANTE, 90;60175-550;1;3452-7346 ;0;1;1;1;0;1;0;558057.89;9588078.82
91;84;23270560;6918;ESCOLA MUNICIPAL MARIA ALICE - EI / EF;RUA PAULO MORAIS, 95;60175-175;1;3105-1388 / 3433-3890 ;0;1;1;1;1;1;0;557355.33;9587160.84
92;27;23256591;6879;ESCOLA MUNICIPAL MARIA DE LOURDES - EI / EF;RUA LUIS MENDES, 174;60823-080;1;3275-7109 / 7459 / 7799;0;1;1;1;0;1;0;554460.75;9581332.38
93;60;23073543;6813;ESCOLA MUNICIPAL MARIA DE LOURDES RIBEIRO JEREISSATI - EI / EF;RUA REINO UNIDO, 115;60820-140;1;3433-3539 / 5294 ;0;0;0;1;1;1;0;555179.75;9581820.67
94;20;23198818;7987;ESCOLA MUNICIPAL MARIA FELÍCIO LOPES - EI / EF;RUA 20 DE JULHO, 480;60180-560;1;-;0;0;0;1;1;1;0;558631.42;9588535.19
95;25;23245379;6824;ESCOLA MUNICIPAL NOSSA SENHORA APARECIDA - EI / EF;RUA TERESA CRISTINA , 112 ;60015-140;1;3105-1029;0;1;1;1;0;1;0;551575.17;9588625.58
96;113;23257393;6927;ESCOLA MUNICIPAL NOSSA SENHORA DO SAGRADO CORAÇÃO - EI / EF;RUA ANA GONÇALVES , 01 ;60130-490;1;-;0;1;1;1;0;1;0;553635.96;9584421.31
97;16;23264209;7175;ESCOLA MUNICIPAL ODILON GONZAGA BRAVEZA - EI / EF;AV. ALBERTO CRAVEIRO, 1480 C;60861-212;1;3452-5131;0;1;1;1;1;1;1;553420.42;9580752.69
98;114;23250631;6850;ESCOLA MUNICIPAL PROFESSOR ERNESTO GURGEL - EI / EF;RUA CORONEL OLEGÁRIO MEMÓRIA, 3105;60833-045;1;3488-3328;1;1;1;1;1;1;0;559219.13;9581003.92
99;44;23070048;7055;ESCOLA MUNICIPAL PROFESSOR FRANCISCO MAURÍCIO DE MATTOS DOURADO - EI / EF;RUA DES. FLORIANO BENEVIDES MAGALHÃES, 391;60811-690;1;3256-8788;0;1;1;1;0;1;1;557807.83;9583015.7
100;41;23071818;7166;ESCOLA MUNICIPAL PROFESSOR JOÃO HIPPÓLYTO DE AZEVEDO E SÁ - EI / EF;RUA 03, 88, CONJUNTO NAPOLIÃO VIANA;60860-490;1;3433-2946;0;1;1;1;1;1;1;552492.79;9581224.27
101;69;23187840;6974;ESCOLA MUNICIPAL PROFESSOR LUIS COSTA - EF;RUA JAIME LEONEL, 156;60811-320;1;3452-1894 / 3452-1895 ;0;0;0;1;1;1;1;555960.66;9583320.72
102;44;23325216;7379;ESCOLA MUNICIPAL PROFESSOR MANUEL EDUARDO PINHEIRO CAMPOS - EI / EF;RUA MIRIÚ, 500;60836-050;1;-;0;0;0;1;1;1;0;561191.9;9581114.98
103;114;23074779;7056;ESCOLA MUNICIPAL PROFESSOR MONTEIRO DE MORAES - EI / EF;RUA EVILÁSIO ALMEIDA MIRANDA, 1608;60833-302;1;3488-3286;0;1;1;1;0;1;1;559132.76;9580232.46
104;25;23257415;6976;ESCOLA MUNICIPAL PROFESSORA ADÉLIA MARIA BRAGA COSTA - EF;RUA FRANKLIN TÁVORA, 742;60150-110;1;3452-5891;0;0;0;1;0;1;1;553557.46;9587538.72
105;122;23064854;6983;ESCOLA MUNICIPAL PROFESSORA AÍDA SANTOS E SILVA - EI / EF;AV. TRAJANO DE MEDEIROS, 813;60182-080;1;3452-7353;0;1;1;1;0;1;0;559309.56;9588082.49
106;114;23064927;6870;ESCOLA MUNICIPAL PROFESSORA ALDACI BARBOSA -  EF;RUA CORONEL OLEGÁRIO MEMÓRIA, 1257;60833-045;1;3488-3282;0;0;0;0;1;1;0;558103.6;9580912.56
107;122;23065958;6862;ESCOLA MUNICIPAL PROFESSORA BELARMINA CAMPOS - EI / EF;RUA DOUTOR MANOEL RODRIQUES MONTEIRO, 840;60182-310;1;3433-2751;0;0;0;1;1;1;1;559246.65;9588223.21
108;122;23067462;6861;ESCOLA MUNICIPAL PROFESSORA CONSUELO AMORA - EF;AV. DOS JANGADEIROS, 577;60175-440;1;3452-7343;0;0;0;1;0;1;1;558047.8;9588371.41
109;1;23068175;6961;ESCOLA MUNICIPAL PROFESSORA EDITH BRAGA - EI / EF;RUA CAPITÃO VASCONCELOS, 1061;60850-680;1;3433-5286 / 3433-5297 ;0;0;0;1;0;1;1;553750.27;9583140.5
110;109;23256559;6971;ESCOLA MUNICIPAL PROFESSORA JOSEFINA PARENTE DE ARAÚJO - EI / EF;RUA PEDRO MAMEDE, 175;60836-075;1;3256-7389 / 3452-2434 ;0;1;1;1;0;1;0;561082.43;9579893.44
111;84;23073608;6860;ESCOLA MUNICIPAL PROFESSORA MARIA GONDIM DOS SANTOS - EI / EF;TRAVESSA GUARANI, 620;60175-790;1;3452-7352;0;0;0;1;1;1;1;557928.39;9586873.79
112;71;23264152;7282;ESCOLA MUNICIPAL PROFESSORA MARIA ODNILRA CRUZ MOREIRA - EI / EF;RUA ADENANTERA, 800;60190-550;1;3452-7358;0;1;1;1;1;1;1;559059.5;9584858.49
113;16;23073748;7223;ESCOLA MUNICIPAL PROFESSORA MARIA STELLA COCHRANE SANTIAGO - EI / EF;RUA ANTÔNIO FARIAS, 121;60743-660;1;3433-2945 / 3452-4821 ;0;1;1;1;1;1;0;552327.35;9580009.35
114;69;23256257;7114;ESCOLA MUNICIPAL SÃO JOÃO BATISTA - EI / EF;AV. ANTÔNIO ROCHA, 395;60821-140;1;3278-1489;0;1;1;1;0;1;0;555545.25;9582518.78
115;102;23269170;7277;ESCOLA MUNICIPAL SÃO RAFAEL - EI / EF;RUA DOS TABAJARAS, 244;60060-510;1;3219-1127;0;0;0;1;1;1;0;553527.54;9588876.67
116;20;23257440;7148;ESCOLA MUNICIPAL SÃO VICENTE DE PAULO - EF;AV.ZEZÉ DIOGO, 1247 ;60180-012;1;3452-7341;0;0;0;1;0;1;0;559501.82;9589003.92
117;44;23078596;7312;ESCOLA MUNICIPAL WASHINGTON SOARES - EF;RUA DO CORRENTE, 400;60812-290;1;3459-2175;0;0;0;0;1;1;0;558028.23;9582387.58
118;4;23078600;7313;ESCOLA MUNICIPAL YOLANDA QUEIROZ - EF;AV. GENERAL MURILO BORGES, 864;60851-250;1;3433-3987;0;0;0;1;1;1;0;554415.78;9583877.14
119;20;23065028;7123;ESCOLA MUNICIPAL TEMPO INTEGRAL PROFESSOR ÁLVARO COSTA ;AV. VICENTE DE CASTRO, 6074;60180-410;2;3452-7340 / 3452-7356 ;0;0;0;0;1;0;0;558642.45;9589709.41
120;113;23069317;7124;ESCOLA MUNICIPAL TEMPO INTEGRAL PROFESSORA ANTONIETA CALS ;RUA MONSENHOR SALAZAR, 1480;60130-731;2;3452-1891;0;0;0;0;1;0;0;554816.23;9584857.75
121;3;_;7188;ESCOLA MUNICIPAL JOSÉ RAMOS TORRES DE MELO - UND II ;AV. DESEMBARGADOR MOREIRA, 2121;60170-002;3;3452-7354;0;1;1;1;0;0;0;555455.71;9586143.15
122;113;_;7317;CEI ALMERINDA DE ALBUQUERQUE;TRAVESSA LIBERTADOR, 57;60130-720;4;-;1;0;1;0;0;0;0;553978.29;9584240.73
123;122;_;7405;CEI DARCY RIBEIRO;RUA FAUSTO CABRAL, 357;60175-415;4;3452-2316;1;1;1;0;0;0;0;557900.54;9587371.51
124;103;_;7407;CEI DOM ALOÍSIO LORSCHEIDER;AV. SENADOR CARLOS JEREISSATI, 395;60177-375;4;3433-2735;1;1;1;0;0;0;0;560500.7;9586081.83
125;103;_;7984;CEI FREI AGOSTINHO FERNANDES;AV. CÉSAR CALS, 2370;60182-000;4;-;1;0;1;0;0;0;0;560329.72;9586826.58
126;104;_;7028;CEI FREI TITO DE ALENCAR LIMA;AV. ZEZÉ DIOGO, 6470;60181-770;4;3105-1476;1;1;1;0;0;0;0;562138.62;9583828.35
127;20;_;7979;CEI GODOFREDO DE CASTRO FILHO;AV. JOSÉ SABÓIA, 905;60180-480;4;-;1;1;1;0;0;0;0;559361.42;9589062.99
128;16;_;7977;CEI JORNALISTA IVONETE MAIA;RUA MANOEL DE AGUIAR PONTES, 1525;60867-695;4;-;1;1;1;0;0;0;0;553696.29;9578877.22
129;110;_;7159;CEI JOSÉ CARLOS DE PINHO;AV. ROGACIANO LEITE, 1864;60810-092;4;3452-2443;1;1;1;0;0;0;0;555676.48;9583176.91
130;60;-;7153;CEI MARIA DE LOURDES RIBEIRO JEREISSATI;RUA REINO UNIDO, 930;60820-140;4;3433-3509;1;1;1;0;0;0;0;555105.44;9581716.53
131;20;_;7995;CEI MARIA FELÍCIO LOPES;RUA 20 DE JULHO, 480;60180-560;4;-;1;1;1;0;0;0;0;558679.65;9588556.5
132;84;_;7386;CEI MENINO MALUQUINHO;AV. ENGENHEIRO ALBERTO SÁ, 52;60175-395;4;-;1;1;1;0;0;0;0;557438.5;9587369.68
133;25;_;8026;CEI NOSSA SENHORA APARECIDA;RUA TERESA CRISTINA, 100 ;60015-140;4;-;1;0;1;0;0;0;0;551578.43;9588643.14
134;16;_;7368;CEI ODILON GONZAGA BRAVEZA ;AV. ALBERTO CRAVEIRO, 1480 B;60861-212;4;3433-2949;1;1;1;0;0;0;0;553468.43;9580747.93
135;16;_;7238;CEI ODILON GONZAGA BRAVEZA - UND II;RUA MAESTRO NÉO MIRANDA, 220;60867-530;4;3487-8784;1;1;1;0;0;0;0;553497.55;9579862.89
136;1;_;7985;CEI PROFESSORA EDITH BRAGA;RUA CAPITÃO VASCONCELOS, 1061;60850-680;4;-;1;1;1;0;0;0;0;553728.22;9583166.22
137;44;_;7240;CEI PROFESSOR FRANCISCO MAURÍCIO DE MATTOS DOURADO;RUA B, 50, LOTEAMENTO PARQUE AMARALINA;60813-020;4;3278-5921;1;0;1;0;0;0;0;557776.13;9583050.88
138;44;_;7986;CEI PROFESSOR MANUEL EDUARDO PINHEIRO CAMPOS ;RUA MIRIÚ, 500;60836-050;4;-;1;1;1;0;0;0;0;561165.6;9581131.44
